time V1 V2 I
6.04 0.00725123 0.00496374 0.992749
6.05 0.00722847 0.00496386 0.992772
6.06 0.00720594 0.00496397 0.992794
6.07 0.00718363 0.00496408 0.992816
6.08 0.00716155 0.00496419 0.992838
6.09 0.00713968 0.0049643 0.99286
6.1 0.00711804 0.00496441 0.992882
6.11 0.00709661 0.00496452 0.992903
6.12 0.00707539 0.00496462 0.992925
6.13 0.00705439 0.00496473 0.992946
6.14 0.0070336 0.00496483 0.992966
6.15 0.00701302 0.00496493 0.992987
6.16 0.00699264 0.00496504 0.993007
6.17 0.00697246 0.00496514 0.993028
6.18 0.00695249 0.00496524 0.993048
6.19 0.00693272 0.00496534 0.993067
6.2 0.00691314 0.00496543 0.993087
6.21 0.00689376 0.00496553 0.993106
6.22 0.00687458 0.00496563 0.993125
6.23 0.00685558 0.00496572 0.993144
6.24 0.00683678 0.00496582 0.993163
6.25 0.00681816 0.00496591 0.993182
6.26 0.00679973 0.004966 0.9932
6.27 0.00678149 0.00496609 0.993219
6.28 0.00676342 0.00496618 0.993237
6.29 0.00674554 0.00496627 0.993254
6.3 0.00672784 0.00496636 0.993272
6.31 0.00671031 0.00496645 0.99329
6.32 0.00669296 0.00496654 0.993307
6.33 0.00667578 0.00496662 0.993324
6.34 0.00665877 0.00496671 0.993341
6.35 0.00664194 0.00496679 0.993358
6.36 0.00662527 0.00496687 0.993375
6.37 0.00660877 0.00496696 0.993391
6.38 0.00659243 0.00496704 0.993408
6.39 0.00657626 0.00496712 0.993424
6.4 0.00656025 0.0049672 0.99344
6.41 0.0065444 0.00496728 0.993456
6.42 0.00652871 0.00496736 0.993471
6.43 0.00651317 0.00496743 0.993487
6.44 0.00649779 0.00496751 0.993502
6.45 0.00648256 0.00496759 0.993517
6.46 0.00646749 0.00496766 0.993533
6.47 0.00645257 0.00496774 0.993547
6.48 0.00643779 0.00496781 0.993562
6.49 0.00642317 0.00496788 0.993577
6.5 0.00640869 0.00496796 0.993591
6.51 0.00639435 0.00496803 0.993606
6.52 0.00638016 0.0049681 0.99362
6.53 0.00636611 0.00496817 0.993634
6.54 0.0063522 0.00496824 0.993648
6.55 0.00633843 0.00496831 0.993662
6.56 0.0063248 0.00496838 0.993675
6.57 0.0063113 0.00496844 0.993689
6.58 0.00629794 0.00496851 0.993702
6.59 0.00628471 0.00496858 0.993715
6.6 0.00627162 0.00496864 0.993728
6.61 0.00625865 0.00496871 0.993741
6.62 0.00624582 0.00496877 0.993754
6.63 0.00623311 0.00496883 0.993767
6.64 0.00622053 0.0049689 0.993779
6.65 0.00620808 0.00496896 0.993792
6.66 0.00619575 0.00496902 0.993804
6.67 0.00618354 0.00496908 0.993816
6.68 0.00617146 0.00496914 0.993829
6.69 0.00615949 0.0049692 0.993841
6.7 0.00614765 0.00496926 0.993852
6.71 0.00613593 0.00496932 0.993864
6.72 0.00612432 0.00496938 0.993876
6.73 0.00611283 0.00496944 0.993887
6.74 0.00610145 0.00496949 0.993899
6.75 0.00609019 0.00496955 0.99391
6.76 0.00607904 0.0049696 0.993921
